order_id,customer_id,order_date,product_name,quantity,unit_price,total_price
20001,11052,2023-09-21,Cloned executive firmware,2,62.28,124.56
20002,11093,2024-07-22,Switchable actuating Internet solution,8,18.07,144.56
20003,11015,2024-01-12,Universal web-enabled pricing structure,8,74.59,596.72
20004,11072,2024-11-22,Extended reciprocal utilization,1,45.99,45.99
20005,11061,2023-12-11,Total leadingedge website,3,97.91,293.73
20006,11021,2025-04-12,Organized discrete superstructure,9,84.09,756.8100000000001
20007,11083,2023-07-19,Total optimal algorithm,5,57.02,285.1
20008,11087,2024-02-24,Customizable reciprocal access,6,21.09,126.53999999999999
20009,11075,2024-02-10,Proactive holistic Internet solution,4,87.35,349.4
20010,11075,2024-09-10,Open-architected user-facing flexibility,2,81.98,163.96
20011,11088,2025-01-01,Re-engineered client-driven implementation,8,26.61,212.88
20012,11100,2023-10-12,Down-sized tangible neural-net,6,36.58,219.48
20013,11024,2025-02-03,Robust zero tolerance Graphical User Interface,5,81.41,407.04999999999995
20014,11003,2023-10-11,Optional intangible time-frame,9,26.67,240.03000000000003
20015,11022,2023-09-15,Open-source logistical encoding,1,92.6,92.6
20016,11053,2024-03-11,Horizontal analyzing extranet,5,48.21,241.05
20017,11002,2023-09-26,Front-line heuristic analyzer,6,17.83,106.97999999999999
20018,11088,2024-07-22,Devolved incremental artificial intelligence,5,83.42,417.1
20019,11030,2024-03-13,Cross-platform fresh-thinking projection,6,43.62,261.71999999999997
20020,11038,2024-08-26,Total empowering product,6,57.38,344.28000000000003
20021,11002,2023-08-11,Team-oriented contextually-based complexity,7,20.11,140.76999999999998
20022,11064,2024-12-28,Streamlined grid-enabled policy,4,10.23,40.92
20023,11060,2025-02-07,Business-focused motivating contingency,8,67.42,539.36
20024,11021,2023-08-12,Synergized impactful project,7,56.37,394.59
20025,11033,2024-11-03,Horizontal attitude-oriented open architecture,9,63.42,570.78
20026,11076,2025-01-08,Programmable 24/7 matrix,7,81.44,570.0799999999999
20027,11058,2025-02-11,Optimized secondary synergy,3,68.19,204.57
20028,11022,2025-04-12,User-centric zero administration monitoring,3,25.73,77.19
20029,11089,2024-04-19,Total intangible concept,8,42.47,339.76
20030,11049,2024-06-11,Customizable zero administration implementation,5,91.53,457.65
20031,11091,2024-07-20,Monitored optimal capacity,4,79.3,317.2
20032,11059,2024-04-23,Enterprise-wide national core,8,60.1,480.8
20033,11042,2024-06-18,Visionary regional extranet,6,33.01,198.06
20034,11092,2024-05-01,Cross-group intermediate matrices,2,37.19,74.38
20035,11060,2023-11-29,Organic demand-driven Local Area Network,4,75.88,303.52
20036,11080,2025-03-04,Persistent encompassing open architecture,4,86.61,346.44
20037,11015,2024-11-15,Phased reciprocal benchmark,6,70.43,422.58000000000004
20038,11062,2024-11-01,Diverse stable time-frame,6,82.86,497.15999999999997
20039,11062,2023-10-28,Organized user-facing groupware,1,79.0,79.0
20040,11047,2024-08-01,Digitized secondary project,8,23.47,187.76
20041,11062,2023-11-09,Mandatory contextually-based help-desk,6,48.16,288.96
20042,11051,2024-06-29,Balanced context-sensitive migration,3,23.77,71.31
20043,11055,2023-10-06,Quality-focused well-modulated infrastructure,9,31.17,280.53000000000003
20044,11064,2024-12-20,Devolved static orchestration,2,88.23,176.46
20045,11003,2024-04-29,Triple-buffered dynamic data-warehouse,8,52.56,420.48
20046,11051,2025-01-31,Ameliorated incremental functionalities,3,58.18,174.54
20047,11007,2023-08-26,Switchable value-added extranet,5,26.06,130.29999999999998
20048,11021,2024-04-25,Open-source logistical neural-net,6,38.1,228.60000000000002
20049,11073,2023-08-13,Optional optimizing task-force,6,30.72,184.32
20050,11039,2025-04-18,Balanced zero-defect project,4,28.56,114.24
20051,11018,2023-09-13,Face-to-face tertiary flexibility,3,67.42,202.26
20052,11004,2024-07-01,Function-based stable help-desk,4,33.12,132.48
20053,11089,2023-07-25,Organic didactic framework,1,66.88,66.88
20054,11060,2024-10-17,Distributed radical support,4,15.26,61.04
20055,11014,2023-09-30,Robust secondary system engine,1,22.76,22.76
20056,11009,2023-10-04,Centralized intangible methodology,1,34.71,34.71
